gene_id	gene_name	count.input	count.sample	total.input	total.sample	log2OR	padj	hit	enriched.rev	count.input.rev	count.sample.rev	total.input.rev	total.sample.rev
ENSMUSG00000000001	Gnai3	4	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000003	Pbsn	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000028	Cdc45	9	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000000037	Scml2	9	1	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000049	Apoh	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000056	Narf	3	0	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000000058	Cav2	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000078	Klf6	116	2	330773	24257	NA	NA	NA	NA	92	5	328553	22225
ENSMUSG00000000085	Scmh1	45	4	330773	24257	0.567703248788926	0.99997370591344	FALSE	Enriched for reversed integrations	52	303	328553	22225
ENSMUSG00000000088	Cox5a	100	5	330773	24257	-0.304087819667288	0.99997370591344	FALSE	NA	95	5	328553	22225
ENSMUSG00000000093	Tbx2	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000094	Tbx4	3	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000103	Zfy2	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000120	Ngfr	40	3	330773	24257	0.411762337080343	0.99997370591344	FALSE	NA	44	3	328553	22225
ENSMUSG00000000125	Wnt3	3	0	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000126	Wnt9a	10	0	330773	24257	NA	NA	NA	NA	8	0	328553	22225
ENSMUSG00000000127	Fer	76	1	330773	24257	NA	NA	NA	NA	102	5	328553	22225
ENSMUSG00000000131	Xpo6	178	3	330773	24257	-1.71509766361271	0.99997370591344	FALSE	NA	118	4	328553	22225
ENSMUSG00000000134	Tfe3	17	140	330773	24257	6.74721452031455	3.76038738191005e-140	TRUE	NA	26	1	328553	22225
ENSMUSG00000000142	Axin2	4	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000148	Brat1	17	1	330773	24257	NA	NA	NA	NA	17	0	328553	22225
ENSMUSG00000000149	Gna12	19	0	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000154	Slc22a18	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000157	Itgb2l	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000159	Igsf5	2	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000167	Pih1d2	4	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000168	Dlat	1	1	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000171	Sdhd	4	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000182	Fgf23	1	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000183	Fgf6	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000184	Ccnd2	33	0	330773	24257	NA	NA	NA	NA	26	2	328553	22225
ENSMUSG00000000194	Gpr107	178	7	330773	24257	-0.714908151578773	0.99997370591344	FALSE	NA	188	8	328553	22225
ENSMUSG00000000197	Nalcn	3	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000202	Btbd17	31	0	330773	24257	NA	NA	NA	NA	32	3	328553	22225
ENSMUSG00000000204	Slfn4	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000214	Th	5	2	330773	24257	NA	NA	NA	NA	5	1	328553	22225
ENSMUSG00000000215	Ins2	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000216	Scnn1g	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000223	Drp2	67	2	330773	24257	NA	NA	NA	NA	86	3	328553	22225
ENSMUSG00000000244	Tspan32	51	4	330773	24257	0.390814221149416	0.99997370591344	FALSE	NA	23	3	328553	22225
ENSMUSG00000000247	Lhx2	5	5	330773	24257	3.76956298143093	0.00443274647340605	TRUE	NA	10	1	328553	22225
ENSMUSG00000000248	Clec2g	2	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000253	Gmpr	3	0	330773	24257	NA	NA	NA	NA	9	1	328553	22225
